;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
76; 102 Avenue Du General Leclerc (Metro Alesia);75014;Paris ;48.826452;2.326001;;1.65;1.65;2.33;3.25;2.39;1.35
77; 102 Avenue Du General Leclerc Rue Fanny;54110;Dombasle-sur-Meurthe ;48.62025;6.35083;4.65;1.59;1.43;;2.99;;1.25
78; 102 Route D'albi;31200;Toulouse ;43.634732;1.463918;5.18;1.96;;;3.26;2.25;1.42
79; 102 Rue St Aubert;62000;Arras ;50.2921536;2.7695361999999;;2.24;;;;;
80; 102-104 Route De Blagnac 0;31200;Toulouse ;43.61596;1.409703;5.1;1.9;;2.58;2.99;;1.39
81; 103 Rue De Verdun;92150;Suresnes ;48.876121;2.231959;4.79;1.65;1.59;;3.19;2.29;1.35
82; 103-107 Rue Cheret;94000;Créteil ;48.804956;2.457734;;;;2.85;3.58;;
83; 105 Gde R. St Michel;31300;Toulouse ;43.589581;1.445653;5.1;1.9;;;3.18;2.2;1.39
84; 105route Du Polygone;67000;Strasb -Polygone ;48.5738865;7.797896;;1.85;1.99;;2.99;2.5;1.35
85; 106 Avenue Jean Jaures;14270;Mezidon-Canon ;49.073605;-0.074044;4.65;1.59;1.59;;2.99;2.15;1.25
86; 106 Rue De La Bergerie Zac Croix St Nicolas;54840;Gondreville ;48.693085;5.9637339999999;4.99;1.75;1.9;;2.99;2.35;1.25
87; 106-108 Rue Du Point Du Jour;92100;Boulogne-Billancourt ;48.82914;2.24793;6.24;2.03;2.16;;3.66;2.32;1.64
88; 107 Boulevard Bara;13013;Marseille ;43.3472254;5.4503675999999;5.12;1.97;2.04;2.83;3.15;2.17;1.39
89; 107 Cours Emile Zola;69100;Villeurbanne ;45.770756;4.873184;5.26;2.01;1.98;2.95;3.38;2.2;1.52
90; 107 Rue Des Halles;37000;Tours ;47.3928425;0.68107940000004;5.09;2.16;;2.67;;2.32;1.27
91; 1075 Avenue De La Resistance;09200;Saint-Girons ;42.973082;1.153415;4.65;1.59;1.43;2.21;2.99;2.15;1.25
92; 1097 Avenue Des Landiers Cc Chamnord;73000;Chambéry ;45.59314;5.90179;;1.49;1.55;2.39;2.99;1.99;1.29
93; 11 Bd Auguste Comte;24100;Bergerac ;44.84852;0.49254;4.65;1.59;1.59;;2.99;2.15;1.25
94; 11 Bis Grande Rue St Michel;31400;Toulouse ;43.58563;1.44736;4.79;1.65;1.65;2.33;2.99;;1.39
95; 11 Boulevard Des Recollets;31400;Toulouse ;43.58465;1.44;5.18;1.96;;2.64;3.26;;1.42
96; 11 Boulevard Marechal Fayolle;43000;Le Puy-en-Velay ;45.0421214;3.8860783;5.26;2.01;1.98;2.95;2.99;;1.52
97; 11 Place Charles De Gaulle 0;86000;Poitiers ;46.582945;0.344143;5.09;2.16;1.84;;3.1;;1.27
98; 11 Place De La Commanderie;54000;Nancy ;48.685604;6.167471;;1.95;2.1;;;2.75;
99; 11 Rue Alfred De Vigny;64400;Oloron-Sainte-Marie ;43.1917431;-0.61112;5.1;1.92;2.05;2.55;;2.2;1.32
100; 11 Rue De Bellevue;49630;Corne ;47.474663;-0.347679;5.11;2.16;1.88;2.71;3.13;2.34;1.29
101; 11 Rue De L'orvanne;77250;Ecuelles ;48.3679;2.82799;4.65;1.59;1.55;2.21;2.95;1.99;1.25
102; 11 Rue Deloison;92200;Neuilly-sur-Seine ;48.8770093;2.2495504;;1.87;2.12;;;2.51;1.52
103; 11 Rue Jean Jaures;06400;Cannes ;43.553617;7.023395;5.26;2.01;2.03;2.95;2.99;2.2;
104; 11 Rue Nationale;57190;Florange ;49.31766;6.11364;4.65;1.59;1.55;2.21;2.99;4.18;1.25
105; 11 Rue Pasteur;38110;La Tour-du-Pin ;45.5614647;5.4482918;;1.96;1.91;2.76;3.08;2.12;1.33
106; 110 Avenue Marcel Haegelen Aeroport;18000;Bourges ;47.071412;2.377002;4.65;1.49;;2.21;2.99;2.15;1.25
107; 111 Rue Faubourg Bonnefoy;31500;Toulouse -Bonnefoy ;43.6203;1.4573100000000068;5.62;2.07;;;;;
108; 112 Avenue De Hambourg Cc Bonneveine;13008;Marseille ;43.248785;5.388989;4.6;1.59;1.59;2.05;;2.29;1.35
109; 112 Cours Charlemagne;69002;Lyon ;45.740664;4.818086;4.6;1.49;1.59;;2.99;;1.29
